Sequence	MissingNumber
C16orf87	3
C16orf89	38
C16orf90	22
C16orf91	9
C16orf92	5
C16orf95	44
C16orf96	37
C17orf100	49
C17orf107	35
C17orf113	62
C17orf114	12
C17orf49	1
C17orf50	7
C17orf58	98
C17orf64	6
C17orf67	8
C17orf75	3
C17orf78	59
C17orf80	10
C17orf97	17
C17orf98	2
C17orf99	109
C18orf21	5
C18orf25	3
C18orf32	3
C18orf54	7
C18orf63	4
C19orf12	18
C19orf18	24
C19orf25	75
C19orf33	12
C19orf38	7
C19orf44	19
C19orf47	3
C19orf53	7
C19orf54	4
C19orf67	1
C19orf71	13
C19orf73	183
C19orf81	5
C19orf84	9
C19orf85	34
C1D	5
C1GALT1	8
C1GALT1C1	19
C1GALT1C1L	225
C1orf100	10
C1orf105	16
C1orf109	6
C1orf112	6
C1orf115	20
C1orf116	10
C1orf122	18
C1orf127	210
C1orf131	5
C1orf141	26
C1orf146	1
C1orf158	2
C1orf159	198
C1orf162	18
C1orf167	140
C1orf174	9
C1orf185	6
C1orf189	2
C1orf194	1
C1orf198	11
C1orf21	4
C1orf210	1
C1orf216	3
C1orf226	6
C1orf232	13
C1orf35	16
C1orf43	3
C1orf50	2
C1orf52	9
C1orf53	47
C1orf54	1
C1orf56	9
C1orf68	43
C1orf74	4
C1orf87	67
C1orf94	1
C1QA	3
C1QB	5
C1QBP	2
C1QC	6
C1QL1	25
C1QL2	11
C1QL3	20
C1QL4	8
C1QTNF1	16
C1QTNF12	13
C1QTNF2	7
C1QTNF3	6
C1QTNF4	37
C1QTNF5	14
C1QTNF6	4
C1QTNF7	5
C1QTNF8	127
C1QTNF9	11
C1QTNF9B	10
C1R	9
C1RL	9
C1S	7
C2	4
C20orf141	39
C20orf144	34
C20orf173	56
C20orf194	3
C20orf202	5
C20orf203	200
C20orf204	14
C20orf27	2
C20orf85	2
C20orf96	3
C21orf58	15
C21orf62	20
C21orf91	3
C22orf15	106
C22orf23	2
C22orf31	62
C22orf39	4
C2CD2	4
C2CD2L	1
C2CD3	5
C2CD4A	109
C2CD4B	103
C2CD4C	34
C2CD4D	43
C2CD5	1
C2orf15	47
C2orf42	5
C2orf49	5
C2orf50	47
C2orf66	10
C2orf68	2
C2orf69	2
C2orf72	47
C2orf73	5
C2orf74	26
C2orf76	2
C2orf80	4
C2orf81	34
C2orf83	243
C2orf88	0
C2orf92	35
C3	30
C3AR1	8
C3orf14	6
C3orf18	3
C3orf20	35
C3orf22	29
C3orf33	5
C3orf36	203
C3orf38	10
C3orf49	51
C3orf52	216
C3orf56	164
C3orf62	6
C3orf70	3
C3orf80	38
C3orf84	10
C3orf85	2
C4A	17
C4B	45
C4BPA	24
C4BPB	18
C4orf17	21
C4orf19	11
C4orf3	192
C4orf33	2
C4orf36	1
C4orf45	7
C4orf46	17
C4orf47	2
C4orf48	29
C4orf50	21
C4orf51	37
C5	10
C5AR1	25
C5AR2	17
C5orf15	9
C5orf22	3
C5orf24	3
C5orf34	5
C5orf38	180
C5orf46	5
C5orf47	58
C5orf49	8
C5orf51	2
C5orf52	12
C5orf58	6
C5orf63	174
C6	9
C6orf118	11
C6orf120	20
C6orf132	126
C6orf136	22
C6orf141	19
C6orf15	29
C6orf163	7
C6orf201	17
C6orf223	273
C6orf226	28
C6orf47	16
C6orf52	22
C6orf62	4
C6orf89	3
C7	9
C7orf25	6
C7orf26	2
C7orf31	27
C7orf33	217
C7orf50	22
C7orf57	4
C7orf61	6
C8A	12
C8B	13
C8G	16
C8orf33	12
C8orf34	2
C8orf37	3
C8orf44	242
C8orf48	6
C8orf58	2
C8orf74	5
C8orf76	3
C8orf82	21
C8orf88	5
C8orf89	11
C9	10
C9orf116	2
C9orf135	6
C9orf152	5
C9orf153	27
C9orf16	2
C9orf24	1
C9orf40	24
C9orf43	4
C9orf50	46
C9orf57	9
C9orf64	4
C9orf72	7
C9orf78	2
CA1	46
CA10	5
CA11	5
CA12	2
CA13	4
CA14	3
CA2	3
CA3	3
CA4	0
CA5A	1
CA5B	41
CA6	10
CA7	1
CA8	4
CA9	1
CAAP1	2
CAB39	1
CAB39L	5
CABCOCO1	6
CABIN1	8
CABLES1	7
CABLES2	4
CABP1	53
CABP2	4
CABP4	2
CABP5	9
CABP7	1
CABS1	37
CABYR	12
CACFD1	2
CACHD1	4
CACNA1A	6
CACNA1B	15
CACNA1C	39
CACNA1D	2
CACNA1E	4
CACNA1F	5
CACNA1G	2
CACNA1H	12
CACNA1I	6
CACNA1S	6
CACNA2D1	8
CACNA2D2	5
CACNA2D3	6
CACNA2D4	5
CACNB1	1
CACNB2	3
CACNB3	0
CACNB4	3
CACNG1	9
CACNG2	10
CACNG3	2
CACNG4	26
CACNG5	7
CACNG6	7
CACNG7	4
CACNG8	101
CACTIN	10
CACUL1	4
CACYBP	3
CAD	3
CADM1	3
CADM2	6
CADM3	1
CADM4	5
CADPS	3
CADPS2	3
CAGE1	19
CALB1	1
CALB2	3
CALCOCO1	3
CALCOCO2	5
CALCR	3
CALCRL	3
CALD1	8
CALHM1	10
CALHM2	3
CALHM3	15
CALHM4	27
CALHM5	5
CALHM6	25
CALM1	3
CALM2	4
CALM3	1
CALML3	30
CALML4	2
CALML5	3
CALML6	108
CALN1	7
CALR	5
CALR3	10
CALU	1
CALY	6
CAMK1	1
CAMK1D	3
CAMK1G	1
CAMK2A	2
CAMK2B	8
CAMK2D	5
CAMK2G	4
CAMK2N1	17
CAMK4	4
CAMKK1	11
CAMKK2	5
CAMKMT	2
CAMKV	1
CAMLG	3
CAMSAP1	14
CAMSAP2	22
CAMSAP3	11
CAMTA1	6
CAMTA2	2
CAND1	4
CAND2	11
CANT1	3
CANX	13
CAP1	0
CAP2	2
CAPG	3
CAPN1	4
CAPN10	4
CAPN11	11
CAPN12	9
CAPN13	26
CAPN14	68
CAPN15	13
CAPN2	8
CAPN3	3
CAPN5	2
CAPN6	2
CAPN7	5
CAPN8	38
CAPN9	82
CAPNS1	5
CAPNS2	9
CAPRIN1	1
CAPRIN2	1
CAPS	3
CAPS2	29
CAPSL	2
CAPZA1	4
CAPZA2	6
CAPZA3	6
CAPZB	6
CARD10	3
CARD11	10
CARD14	26
CARD16	245
CARD19	4
CARD6	63
CARD8	204
CARD9	4
CARF	5
CARHSP1	3
CARM1	3
CARMIL1	5
CARMIL2	0
CARMIL3	1
CARNMT1	4
CARNS1	6
CARS1	11
CARS2	7
CARTPT	0
CASC3	5
CASD1	4
CASK	8
CASKIN1	26
CASKIN2	5
CASP1	65
CASP10	91
CASP12	125
CASP14	37
CASP2	3
CASP3	3
CASP5	79
CASP6	2
CASP7	5
CASP8	25
CASP9	3
CASQ1	0
CASQ2	3
CASR	8
CASS4	11
CAST	7
CASTOR1	0
CASTOR2	4
CASZ1	1
CAT	2
CATIP	0
CATSPER1	19
CATSPER2	6
CATSPER3	1
CATSPER4	1
CATSPERB	4
CATSPERD	21
CATSPERE	14
CATSPERG	5
CATSPERZ	7
CAV1	2
CAV2	3
CAV3	3
CAVIN1	6
CAVIN2	2
CAVIN3	1
CAVIN4	7
CBARP	20
CBFA2T2	7
CBFA2T3	4
CBFB	2
CBL	3
CBLB	3
CBLC	12
CBLIF	10
CBLL1	7
CBLL2	221
CBLN1	4
CBLN2	34
CBLN3	2
CBLN4	4
CBR3	9
CBR4	5
CBS	3
CBSL	8
CBWD1	4
CBWD2	3
CBWD3	4
CBWD5	6
CBWD6	3
CBX1	5
CBX2	11
CBX3	9
CBX4	25
CBX5	4
CBX6	22
CBX7	10
CBX8	4
CBY1	3
CBY2	9
CBY3	16
CC2D1A	1
CC2D1B	2
CC2D2A	10
CC2D2B	5
CCAR1	8
CCAR2	2
CCBE1	4
CCDC102A	4
CCDC102B	31
CCDC103	2
CCDC105	15
CCDC106	6
CCDC107	6
CCDC110	13
CCDC112	6
CCDC113	2
CCDC115	2
CCDC116	10
CCDC117	4
CCDC12	1
CCDC120	10
CCDC121	45
CCDC122	9
CCDC124	5
CCDC125	13
CCDC126	7
CCDC127	9
CCDC13	0
CCDC130	8
CCDC134	0
CCDC136	1
CCDC137	0
CCDC138	11
CCDC14	9
CCDC141	3
CCDC142	3
CCDC146	3
CCDC148	3
CCDC149	1
CCDC15	55
CCDC150	22
CCDC152	4
CCDC153	50
CCDC154	10
CCDC157	7
CCDC158	23
CCDC159	21
CCDC160	10
CCDC163	149
CCDC166	22
CCDC167	4
CCDC169	61
CCDC17	0
CCDC170	11
CCDC171	6
CCDC172	6
CCDC173	5
CCDC174	6
CCDC175	9
CCDC177	32
CCDC178	7
CCDC179	1
CCDC18	11
CCDC180	16
CCDC181	10
CCDC182	7
CCDC183	23
CCDC184	10
CCDC185	26
CCDC186	2
CCDC187	18
CCDC188	13
CCDC189	8
CCDC190	23
CCDC191	4
CCDC192	24
CCDC194	7
CCDC195	10
CCDC196	30
CCDC197	110
CCDC198	4
CCDC200	22
CCDC201	14
CCDC22	6
CCDC24	1
CCDC25	3
CCDC27	4
CCDC28A	4
CCDC28B	2
CCDC3	11
CCDC30	9
CCDC32	4
CCDC33	52
CCDC34	11
CCDC38	9
CCDC39	5
CCDC40	8
CCDC42	7
CCDC43	2
CCDC47	1
CCDC50	5
CCDC51	3
CCDC54	54
CCDC57	9
CCDC59	5
CCDC6	4
CCDC60	5
CCDC61	6
CCDC62	3
CCDC63	10
CCDC65	5
CCDC66	4
CCDC68	1
CCDC69	6
CCDC7	56
CCDC70	16
CCDC71	5
CCDC71L	74
CCDC73	8
CCDC74A	41
CCDC74B	39
CCDC77	5
CCDC78	4
CCDC8	54
CCDC80	9
CCDC81	8
CCDC82	8
CCDC83	2
CCDC85A	7
CCDC85B	10
CCDC85C	53
CCDC86	10
CCDC87	24
CCDC88A	9
CCDC88B	6
CCDC88C	5
CCDC89	5
CCDC9	3
CCDC90B	5
CCDC91	5
CCDC92	11
CCDC93	2
CCDC96	21
CCDC97	0
CCDC9B	1
CCER1	13
CCER2	12
CCHCR1	4
CCIN	21
CCK	5
CCKAR	2
CCKBR	233
CCL1	9
CCL13	100
CCL16	30
CCL19	2
CCL20	3
CCL21	2
CCL22	0
CCL24	25
CCL25	5
CCL26	37
CCL27	26
CCL28	8
CCL5	209
CCM2	4
CCM2L	5
CCN1	0
CCN2	4
CCN3	1
CCN4	4
CCN5	2
CCN6	5
CCNA1	3
CCNA2	3
CCNB1	2
CCNB1IP1	14
CCNB2	3
CCNC	2
CCND1	2
CCND2	3
CCND3	1
CCNDBP1	4
CCNE1	2
CCNE2	2
CCNF	4
CCNG1	9
CCNG2	3
CCNH	4
CCNI	8
CCNI2	94
CCNJ	7
CCNJL	3
CCNK	2
CCNL1	2
CCNL2	2
CCNO	3
CCNP	22
CCNQ	25
CCNT1	6
CCNT2	13
CCNY	4
CCNYL1	49
CCP110	8
CCPG1	14
CCR1	11
CCR10	7
CCR2	14
CCR3	5
CCR4	4
CCR5	10
CCR6	11
CCR7	2
CCR8	30
CCR9	5
CCRL2	6
CCS	1
CCSAP	5
CCSER1	28
CCSER2	8
CCT2	1
CCT3	6
CCT4	9
CCT5	6
CCT6A	6
CCT6B	33
CCT7	4
CCT8	2
CCT8L2	89
CCZ1	10
CCZ1B	11
CD101	5
CD109	6
CD14	5
CD151	7
CD160	132
CD163	6
CD163L1	245
CD164	3
CD164L2	1
CD177	25
CD180	9
CD19	4
CD1D	59
CD2	4
CD200	6
CD207	29
CD22	5
CD226	7
CD24	132
CD244	11
CD247	2
CD248	46
CD27	1
CD274	4
CD276	86
CD28	2
CD2AP	9
CD2BP2	1
CD300A	14
CD300E	83
CD300LB	36
CD300LF	8
CD300LG	5
CD302	2
CD320	6
CD34	4
CD36	5
CD37	2
CD38	6
CD3D	0
CD3E	1
CD3G	5
CD4	1
CD40	2
CD40LG	3
CD44	4
CD47	1
CD48	15
CD5	4
CD52	2
CD53	0
CD55	7
CD58	58
CD59	12
CD5L	25
CD6	5
CD63	7
CD68	0
CD69	4
CD7	33
CD70	24
CD72	2
CD74	3
CD79A	1
CD79B	3
CD80	5
CD81	4
CD82	2
CD83	4
CD84	7
CD86	4
CD8A	16
CD8B	5
CD8B2	7
CD9	14
CD93	4
CD96	45
CD99	76
CD99L2	10
CDA	0
CDADC1	3
CDAN1	2
CDC123	5
CDC14A	2
CDC14B	4
CDC14C	266
CDC16	2
CDC20	0
CDC20B	43
CDC23	4
CDC25A	3
CDC25B	0
CDC25C	17
CDC26	4
CDC27	4
CDC34	8
CDC37	6
CDC37L1	5
CDC40	3
CDC42	4
CDC42BPB	3
CDC42BPG	1
CDC42EP1	8
CDC42EP2	4
CDC42EP3	4
CDC42EP4	13
CDC42EP5	44
CDC42SE1	1
CDC42SE2	5
CDC45	3
CDC5L	3
CDC6	1
CDC7	2
CDC73	2
CDCA2	2
CDCA3	5
CDCA4	22
CDCA5	18
CDCA7	3
CDCA7L	3
CDCA8	5
CDCP1	4
CDCP2	3
CDH1	2
CDH10	5
CDH11	2
CDH12	11
CDH13	4
CDH15	21
CDH16	1
CDH17	4
CDH18	16
CDH19	6
CDH2	6
CDH20	5
CDH22	2
CDH23	4
CDH24	7
CDH26	101
CDH3	3
CDH4	22
CDH5	8
CDH6	1
CDH7	6
CDH8	3
CDH9	5
CDHR1	8
CDHR2	3
CDHR3	23
CDHR4	19
CDHR5	8
CDIN1	25
CDIP1	1
CDIPT	2
CDK1	4
CDK10	3
CDK11A	142
CDK11B	23
CDK12	9
CDK13	4
CDK14	6
CDK15	4
CDK16	0
CDK17	3
CDK18	2
CDK19	2
CDK2	3
CDK20	18
CDK2AP1	0
CDK2AP2	1
CDK3	9
CDK4	4
CDK5	1
CDK5R1	13
CDK5R2	37
CDK5RAP1	5
CDK5RAP2	6
CDK5RAP3	0
CDK6	3
CDK7	6
CDK8	7
CDK9	1
CDKAL1	2
CDKL1	4
CDKL2	4
CDKL3	14
CDKL4	31
CDKL5	6
CDKN1A	5
CDKN1B	1
CDKN1C	50
CDKN2A	17
CDKN2AIP	11
CDKN2AIPNL	10
CDKN2B	20
CDKN2C	2
CDKN2D	7
CDKN3	3
CDNF	6
CDO1	4
CDON	2
CDPF1	1
CDR1	242
CDR2	12
CDR2L	9
CDRT1	13
CDRT4	6
CDS1	5
CDS2	3
CDSN	13
CDT1	6
CDV3	6
CDX1	15
CDX2	24
CDX4	65
CDYL	10
CDYL2	6
CEACAM16	3
CEACAM18	126
CEACAM19	65
CEACAM20	70
CEBPA	33
CEBPB	48
CEBPD	48
CEBPE	3
CEBPG	5
CEBPZ	6
CEBPZOS	3
CECR2	9
CEL	12
CELA1	5
CELA2A	82
CELA2B	90
CELA3A	51
CELA3B	10
CELF1	2
CELF2	3
CELF3	1
CELF4	2
CELF5	6
CELF6	1
CELSR2	3
CELSR3	1
CEMIP	4
CEMIP2	5
CEMP1	239
CENATAC	8
CEND1	2
CENPA	4
CENPB	55
CENPBD1	93
CENPC	7
CENPE	16
CENPH	7
CENPI	34
CENPJ	16
CENPK	12
CENPL	3
CENPM	2
CENPN	7
CENPO	6
CENPP	10
CENPQ	3
CENPS	3
CENPT	0
CENPU	4
CENPV	60
CENPVL1	234
CENPVL2	245
CENPVL3	219
CENPW	22
CENPX	115
CEP104	7
CEP112	8
CEP120	4
CEP126	21
CEP128	2
CEP131	6
CEP135	8
CEP152	3
CEP162	2
CEP164	4
CEP170	4
CEP170B	27
CEP19	8
CEP192	12
CEP20	9
CEP250	4
CEP290	6
CEP295	8
CEP295NL	73
CEP350	7
CEP41	7
CEP43	5
CEP44	3
CEP55	3
CEP57	3
CEP57L1	6
CEP63	5
CEP68	5
CEP70	10
CEP72	26
CEP76	4
CEP78	33
CEP83	6
CEP85	1
CEP85L	4
CEP89	10
CEP95	3
CEP97	2
CEPT1	3
CER1	0
CERCAM	4
CERK	11
CERKL	10
CERS1	37
CERS2	1
CERS3	7
CERS4	10
CERS5	1
CERS6	3
CERT1	3
CES3	86
CES4A	120
CES5A	28
CETN1	6
CETN2	9
CETN3	3
CETP	218
CFAP100	6
CFAP126	1
CFAP157	2
CFAP161	6
CFAP20	0
CFAP206	3
CFAP20DC	2
CFAP221	10
CFAP251	7
CFAP298	3
CFAP299	10
CFAP300	4
CFAP36	0
CFAP410	113
CFAP43	4
CFAP44	7
CFAP45	4
CFAP46	12
CFAP47	65
CFAP52	4
CFAP53	6
CFAP54	7
CFAP57	7
CFAP58	4
CFAP61	3
CFAP65	0
CFAP69	7
CFAP70	7
CFAP73	4
CFAP74	33
CFAP77	2
CFAP91	3
CFAP92	25
CFAP94	18
CFAP97	6
CFAP97D1	0
CFAP97D2	74
CFAP99	4
CFB	2
CFC1	21
CFC1B	19
CFD	23
CFDP1	3
CFI	3
CFL1	6
CFL2	5
CFLAR	5
CFP	4
CFTR	4
CGA	1
CGAS	20
CGB2	19
CGB5	19
CGGBP1	8
CGN	5
CGNL1	3
CGREF1	2
CGRRF1	5
CH25H	3
CH507-9B2	9
CHAC1	2
CHAC2	5
CHAD	8
CHADL	38
CHAF1A	10
CHAF1B	4
CHAMP1	22
CHAT	1
CHCHD1	1
CHCHD10	9
CHCHD2	21
CHCHD3	4
CHCHD4	8
CHCHD5	7
CHCHD6	14
CHCHD7	3
CHD1	4
CHD1L	10
CHD2	2
CHD3	5
CHD4	2
CHD5	5
CHD6	4
CHD7	2
CHD8	3
CHD9	3
CHDH	3
CHEK1	4
CHEK2	4
CHERP	6
CHFR	4
CHGA	3
CHGB	8
CHI3L1	18
CHI3L2	176
CHIC1	13
CHIC2	4
CHID1	2
CHIT1	93
CHKA	4
CHKB	1
CHL1	6
CHM	23
CHML	10
CHMP1A	224
CHMP1B	5
CHMP2A	1
CHMP2B	12
CHMP3	2
CHMP4A	37
CHMP4B	2
CHMP4C	5
CHMP5	0
CHMP6	3
CHMP7	4
CHN1	4
CHN2	1
CHODL	1
CHORDC1	4
CHP1	2
CHP2	7
CHPF	10
CHPF2	8
CHPT1	28
CHRAC1	2
CHRD	0
CHRDL1	5
CHRDL2	3
CHRFAM7A	28
CHRM1	8
CHRM2	4
CHRM3	13
CHRM4	11
CHRM5	9
CHRNA1	6
CHRNA10	4
CHRNA2	11
CHRNA3	9
CHRNA4	11
CHRNA5	8
CHRNA6	21
CHRNA7	9
CHRNA9	3
CHRNB1	6
CHRNB2	20
CHRNB3	13
CHRNB4	12
CHRND	1
CHRNE	6
CHRNG	1
CHST1	8
CHST10	5
CHST11	13
CHST12	18
CHST13	42
CHST14	15
CHST15	3
CHST2	38
CHST3	7
CHST4	7
CHST5	263
CHST6	18
CHST7	30
CHST8	12
CHST9	7
CHSY1	13
CHSY3	2
CHTF18	3
CHTF8	3
CHTOP	2
CHUK	1
CHURC1	2
CIAO1	1
CIAO2A	4
CIAO2B	3
CIAO3	5
CIAPIN1	4
CIART	4
CIB1	1
CIB2	5
CIB3	2
CIB4	14
CIBAR1	4
CIBAR2	29
CIC	10
CIDEA	14
CIDEB	2
CIDEC	3
CIITA	7
CILK1	4
CILP	6
CILP2	21
CINP	7
CIP2A	4
CIPC	9
CIR1	5
CIRBP	64
CISD1	1
CISD2	4
CISD3	2
CISH	1
CIT	3
CITED1	21
CITED2	18
CITED4	28
CIZ1	2
CKAP2	28
CKAP2L	11
CKAP4	8
CKAP5	3
CKB	8
CKLF	5
CKM	3
CKMT1A	4
CKMT1B	4
CKMT2	2
CKS1B	3
CKS2	3
CLASP1	2
CLASP2	2
CLASRP	2
CLBA1	32
CLCA1	7
CLCA2	12
CLCA4	27
CLCC1	5
CLCF1	0
CLCN1	5
CLCN2	3
CLCN3	3
CLCN4	14
CLCN5	9
CLCN6	2
CLCN7	1
CLCNKA	14
CLCNKB	25
CLDN1	1
CLDN10	4
CLDN11	0
CLDN12	3
CLDN14	15
CLDN15	1
CLDN16	3
CLDN17	6
CLDN18	1
CLDN19	3
CLDN2	9
CLDN20	3
CLDN22	92
CLDN23	17
CLDN24	96
CLDN25	43
CLDN3	8
CLDN34	103
CLDN4	8
CLDN5	10
CLDN6	9
CLDN7	3
CLDN8	5
CLDN9	9
CLDND1	6
CLDND2	27
CLEC11A	6
CLEC12A	13
CLEC12B	52
CLEC14A	13
CLEC16A	4
CLEC18A	5
CLEC18B	3
CLEC18C	6
CLEC19A	59
CLEC1A	4
CLEC1B	2
CLEC20A	39
CLEC2A	147
CLEC2B	90
CLEC2D	167
CLEC2L	7
CLEC3A	2
CLEC3B	8
CLEC4D	32
CLEC4E	3
CLEC4F	32
CLEC4G	20
CLEC5A	39
CLEC7A	5
CLEC9A	17
CLECL1	182
CLGN	3
CLHC1	2
CLIC1	1
CLIC2	28
CLIC3	14
CLIC4	2
CLIC5	6
CLIC6	34
CLINT1	1
CLIP1	7
CLIP2	10
CLIP3	8
CLIP4	3
CLK1	1
CLK2	2
CLK3	2
CLK4	4
CLMN	12
CLMP	4
CLN3	5
CLN5	2
CLN6	5
CLN8	27
CLNK	5
CLNS1A	4
CLOCK	2
CLP1	10
CLPB	2
CLPP	3
CLPS	6
CLPSL1	117
CLPSL2	133
CLPTM1	4
CLPTM1L	4
CLPX	4
CLRN1	1
CLRN2	3
CLRN3	2
CLSPN	2
CLSTN1	3
CLSTN2	3
CLSTN3	4
CLTA	1
CLTB	3
CLTC	5
CLTCL1	154
CLU	6
CLUAP1	4
CLUH	6
CLUL1	14
CLVS1	4
CLVS2	2
CLYBL	7
CMAS	3
CMBL	9
CMC1	4
CMC2	9
CMC4	3
CMIP	4
CMKLR1	7
CMPK1	4
CMPK2	40
CMSS1	5
CMTM1	35
CMTM2	9
CMTM3	3
CMTM4	1
CMTM5	1
CMTM6	7
CMTM7	1
CMTM8	6
CMTR1	2
CMTR2	7
CNBD1	30
CNBD2	7
CNBP	5
CNDP1	11
CNDP2	7
CNEP1R1	1
CNFN	4
CNGA1	4
CNGA2	26
CNGA3	18
CNGA4	14
CNGB1	4
CNGB3	15
CNIH1	0
CNIH2	2
CNIH3	4
CNIH4	3
CNKSR1	2
CNKSR2	8
CNKSR3	4
CNMD	3
CNN1	5
CNN2	15
CNN3	4
CNNM1	12
CNNM2	15
CNNM3	57
CNNM4	35
CNOT1	5
CNOT10	6
CNOT11	1
CNOT2	2
CNOT3	9
CNOT4	5
CNOT6	4
CNOT6L	2
CNOT7	1
CNOT8	0
CNOT9	2
CNP	8
CNPPD1	1
CNPY1	107
CNPY2	1
CNPY3	3
CNPY4	0
CNR1	2
CNR2	17
CNRIP1	1
CNST	3
CNTD1	1
CNTF	2
CNTFR	1
CNTLN	5
CNTN1	6
CNTN2	1
CNTN3	5
CNTN4	6
CNTN5	11
CNTN6	2
CNTNAP1	1
CNTNAP2	28
CNTNAP5	66
CNTRL	10
CNTROB	3
COA1	48
COA3	3
COA4	4
COA5	0
COA6	82
COA7	11
COA8	7
COASY	1
COBL	20
COBLL1	6
COCH	3
COG1	7
COG2	7
COG3	4
COG4	2
COG5	4
COG6	7
COG7	1
COG8	3
COIL	18
COL10A1	10
COL11A1	7
COL11A2	6
COL12A1	6
COL13A1	4
COL14A1	6
COL15A1	6
COL16A1	1
COL17A1	7
COL18A1	11
COL19A1	4
COL1A1	2
COL1A2	2
COL20A1	29
COL21A1	26
COL22A1	13
COL23A1	7
COL24A1	6
COL25A1	9
COL26A1	7
COL27A1	7
COL28A1	38
COL2A1	0
COL3A1	3
COL4A1	4
COL4A2	8
COL4A3	8
COL4A4	5
COL4A5	14
COL4A6	18
COL5A1	10
COL5A2	4
COL5A3	5
COL6A1	14
COL6A2	11
COL6A3	6
COL6A5	15
COL6A6	7
COL7A1	15
COL8A1	5
COL8A2	9
COL9A1	2
COL9A2	6
COL9A3	6
COLCA2	5
COLEC10	2
COLEC11	17
COLEC12	4
COLGALT1	11
COLGALT2	3
COLQ	4
COMMD1	5
COMMD10	3
COMMD2	5
COMMD3	6
COMMD4	6
COMMD5	22
COMMD6	4
COMMD7	2
COMMD8	1
COMMD9	0
COMP	6
COMT	16
COMTD1	1
COP1	2
COPA	2
COPB1	5
COPB2	2
COPE	4
COPG1	12
COPG2	11
COPRS	0
COPS2	2
COPS3	5
COPS4	7
COPS5	1
COPS6	0
COPS7A	3
COPS7B	5
COPS8	3
COPS9	254
COPZ1	5
COPZ2	1
COQ10A	2
COQ10B	1
COQ2	10
COQ3	4
COQ4	2
COQ5	6
COQ6	1
COQ7	3
COQ8A	4
COQ8B	3
COQ9	0
CORIN	3
CORO1A	0
CORO1B	1
CORO1C	3
CORO2A	3
CORO2B	4
CORO7	2
CORT	23
COTL1	1
COX10	3
COX11	3
COX14	1
COX15	1
COX16	8
COX17	11
COX18	4
COX19	3
COX20	3
COX4I1	3
COX4I2	1
COX5A	0
COX5B	3
COX6A1	3
COX6A2	2
COX6B1	8
COX6B2	18
COX6C	22
COX7A1	2
COX7A2	1
COX7A2L	4
COX7B	10
COX7B2	5
COX7C	7
COX8A	2
COX8C	14
CP	1
CPA1	3
CPA2	107
CPA3	34
CPA4	12
CPA5	8
CPA6	6
CPAMD8	83
CPB1	3
CPB2	2
CPD	4
CPE	4
CPEB1	3
CPEB2	90
CPEB3	5
CPEB4	4
CPED1	7
CPHXL	203
CPLANE1	32
CPLANE2	3
CPLX1	7
CPLX2	1
CPLX3	1
CPLX4	4
CPM	7
CPN1	6
CPN2	15
CPNE1	4
CPNE2	1
CPNE3	4
CPNE4	8
CPNE5	3
CPNE6	0
CPNE7	59
CPNE8	8
CPNE9	0
CPO	86
CPOX	6
CPPED1	6
CPQ	3
CPS1	7
CPSF1	10
CPSF2	3
CPSF3	6
CPSF4	10
CPSF4L	55
CPSF6	6
CPSF7	3
CPT1A	5
CPT1B	2
CPT1C	9
CPT2	11
CPTP	4
CPVL	6
CPXCR1	182
CPXM1	0
CPXM2	3
CPZ	6
CR1L	150
CR2	8
CRABP1	3
CRABP2	2
CRACDL	34
CRACR2A	2
CRACR2B	7
CRADD	4
CRAMP1	2
CRAT	2
CRB1	34
CRB2	9
CRB3	1
CRBN	3
CRCP	3
CRCT1	13
CREB1	1
CREB3	2
CREB3L1	2
CREB3L2	4
CREB3L3	13
CREB3L4	2
CREB5	2
CREBBP	2
CREBL2	3
CREBRF	3
CREBZF	21
CREG1	1
CREG2	35
CRELD1	9
CRELD2	10
CREM	4
CRH	3
CRHBP	2
CRHR1	4
CRHR2	3
CRIM1	1
CRIP1	0
CRIP2	19
CRIP3	3
CRIPT	6
CRISP1	35
CRISP3	46
CRISPLD1	3
CRISPLD2	2
CRK	6
CRKL	6
CRLF1	9
CRLF2	101
CRLF3	6
CRLS1	5
CRMP1	8
CRNKL1	4
CRNN	77
CROCC	8
CROCC2	8
CROT	4
CRP	139
CRPPA	5
CRTAC1	2
CRTAM	2
CRTAP	12
CRTC1	7
CRTC2	6
CRTC3	2
CRX	17
CRY1	5
CRY2	0
CRYAA	7
CRYAA2	7
CRYAB	1
CRYBA1	4
CRYBA2	14
CRYBA4	12
CRYBB1	15
CRYBB2	5
CRYBB3	13
CRYBG1	8
CRYBG2	9
CRYGA	32
CRYGB	20
CRYGC	15
CRYGD	37
CRYGN	30
CRYGS	7
CRYL1	4
CRYM	1
CRYZ	1
CRYZL1	1
CS	6
CSAD	5
CSDC2	1
CSDE1	2
CSE1L	4
CSF1	5
CSF1R	3
CSF2	0
CSF2RA	124
CSF2RB	30
CSF3	1
CSF3R	3
CSGALNACT1	4
CSGALNACT2	1
CSH1	191
CSH2	15
CSK	2
CSKMT	24
CSMD1	32
CSMD2	7
CSMD3	15
CSN1S1	13
CSN2	12
CSN3	10
CSNK1A1	6
CSNK1A1L	258
CSNK1D	5
CSNK1E	3
CSNK1G1	8
CSNK1G2	14
CSNK1G3	3
CSNK2A1	2
CSNK2A2	0
CSNK2B	3
CSNKA2IP	26
CSPG4	15
CSPG5	8
CSPP1	36
CSRNP1	4
