Sequence	MissingNumber
C16orf87	4
C16orf89	41
C16orf90	23
C16orf91	11
C16orf92	5
C16orf95	47
C16orf96	40
C17orf100	56
C17orf107	39
C17orf113	86
C17orf114	14
C17orf49	1
C17orf50	11
C17orf58	122
C17orf64	7
C17orf67	9
C17orf75	3
C17orf78	70
C17orf80	13
C17orf97	23
C17orf98	4
C17orf99	140
C18orf21	5
C18orf25	6
C18orf32	8
C18orf54	9
C18orf63	4
C19orf12	22
C19orf18	27
C19orf25	110
C19orf33	16
C19orf38	8
C19orf44	20
C19orf47	4
C19orf53	10
C19orf54	4
C19orf67	1
C19orf71	17
C19orf73	223
C19orf81	6
C19orf84	10
C19orf85	36
C1D	5
C1GALT1	9
C1GALT1C1	21
C1GALT1C1L	280
C1orf100	13
C1orf105	16
C1orf109	8
C1orf112	6
C1orf115	29
C1orf116	11
C1orf122	27
C1orf127	251
C1orf131	6
C1orf141	28
C1orf146	1
C1orf158	3
C1orf159	242
C1orf162	21
C1orf167	170
C1orf174	11
C1orf185	6
C1orf189	3
C1orf194	1
C1orf198	16
C1orf21	5
C1orf210	2
C1orf216	5
C1orf226	8
C1orf232	19
C1orf35	20
C1orf43	3
C1orf50	2
C1orf52	10
C1orf53	60
C1orf54	3
C1orf56	14
C1orf68	48
C1orf74	4
C1orf87	69
C1orf94	1
C1QA	5
C1QB	5
C1QBP	2
C1QC	8
C1QL1	39
C1QL2	18
C1QL3	31
C1QL4	12
C1QTNF1	17
C1QTNF12	19
C1QTNF2	7
C1QTNF3	6
C1QTNF4	52
C1QTNF5	22
C1QTNF6	7
C1QTNF7	7
C1QTNF8	155
C1QTNF9	12
C1QTNF9B	11
C1R	9
C1RL	13
C1S	8
C2	4
C20orf141	46
C20orf144	43
C20orf173	66
C20orf194	3
C20orf202	7
C20orf203	262
C20orf204	17
C20orf27	2
C20orf85	3
C20orf96	5
C21orf58	20
C21orf62	26
C21orf91	6
C22orf15	141
C22orf23	3
C22orf31	80
C22orf39	5
C2CD2	6
C2CD2L	1
C2CD3	7
C2CD4A	135
C2CD4B	127
C2CD4C	51
C2CD4D	56
C2CD5	3
C2orf15	54
C2orf42	8
C2orf49	5
C2orf50	53
C2orf66	14
C2orf68	4
C2orf69	4
C2orf72	66
C2orf73	6
C2orf74	26
C2orf76	2
C2orf80	4
C2orf81	44
C2orf83	310
C2orf88	0
C2orf92	42
C3	36
C3AR1	9
C3orf14	8
C3orf18	3
C3orf20	38
C3orf22	36
C3orf33	7
C3orf36	254
C3orf38	11
C3orf49	64
C3orf52	268
C3orf56	204
C3orf62	7
C3orf70	4
C3orf80	52
C3orf84	11
C3orf85	2
C4A	24
C4B	54
C4BPA	32
C4BPB	23
C4orf17	21
C4orf19	15
C4orf3	239
C4orf33	2
C4orf36	3
C4orf45	10
C4orf46	20
C4orf47	4
C4orf48	37
C4orf50	26
C4orf51	37
C5	12
C5AR1	26
C5AR2	22
C5orf15	12
C5orf22	4
C5orf24	3
C5orf34	6
C5orf38	219
C5orf46	6
C5orf47	76
C5orf49	9
C5orf51	2
C5orf52	13
C5orf58	7
C5orf63	196
C6	10
C6orf118	17
C6orf120	25
C6orf132	157
C6orf136	23
C6orf141	26
C6orf15	39
C6orf163	8
C6orf201	22
C6orf223	327
C6orf226	32
C6orf47	24
C6orf52	26
C6orf62	4
C6orf89	3
C7	10
C7orf25	8
C7orf26	3
C7orf31	30
C7orf33	283
C7orf50	27
C7orf57	6
C7orf61	7
C8A	12
C8B	13
C8G	19
C8orf33	15
C8orf34	4
C8orf37	4
C8orf44	307
C8orf48	8
C8orf58	3
C8orf74	6
C8orf76	4
C8orf82	31
C8orf88	5
C8orf89	12
C9	11
C9orf116	2
C9orf135	9
C9orf152	7
C9orf153	29
C9orf16	3
C9orf24	2
C9orf40	35
C9orf43	4
C9orf50	49
C9orf57	13
C9orf64	5
C9orf72	8
C9orf78	3
CA1	61
CA10	6
CA11	8
CA12	3
CA13	5
CA14	3
CA2	4
CA3	4
CA4	1
CA5A	4
CA5B	52
CA6	11
CA7	1
CA8	6
CA9	2
CAAP1	4
CAB39	2
CAB39L	5
CABCOCO1	7
CABIN1	8
CABLES1	9
CABLES2	4
CABP1	70
CABP2	6
CABP4	3
CABP5	11
CABP7	1
CABS1	41
CABYR	16
CACFD1	3
CACHD1	4
CACNA1A	9
CACNA1B	17
CACNA1C	44
CACNA1D	2
CACNA1E	6
CACNA1F	6
CACNA1G	3
CACNA1H	17
CACNA1I	9
CACNA1S	11
CACNA2D1	10
CACNA2D2	6
CACNA2D3	9
CACNA2D4	5
CACNB1	1
CACNB2	5
CACNB3	0
CACNB4	4
CACNG1	10
CACNG2	14
CACNG3	3
CACNG4	29
CACNG5	8
CACNG6	8
CACNG7	5
CACNG8	127
CACTIN	14
CACUL1	5
CACYBP	5
CAD	4
CADM1	5
CADM2	6
CADM3	1
CADM4	7
CADPS	3
CADPS2	3
CAGE1	23
CALB1	1
CALB2	3
CALCOCO1	3
CALCOCO2	8
CALCR	3
CALCRL	4
CALD1	11
CALHM1	10
CALHM2	3
CALHM3	16
CALHM4	27
CALHM5	6
CALHM6	30
CALM1	4
CALM2	5
CALM3	2
CALML3	46
CALML4	2
CALML5	4
CALML6	139
CALN1	7
CALR	7
CALR3	13
CALU	2
CALY	6
CAMK1	1
CAMK1D	3
CAMK1G	2
CAMK2A	2
CAMK2B	9
CAMK2D	6
CAMK2G	4
CAMK2N1	23
CAMK4	5
CAMKK1	15
CAMKK2	7
CAMKMT	2
CAMKV	1
CAMLG	4
CAMSAP1	19
CAMSAP2	29
CAMSAP3	18
CAMTA1	9
CAMTA2	3
CAND1	5
CAND2	13
CANT1	7
CANX	15
CAP1	0
CAP2	2
CAPG	5
CAPN1	5
CAPN10	5
CAPN11	13
CAPN12	13
CAPN13	28
CAPN14	87
CAPN15	21
CAPN2	9
CAPN3	5
CAPN5	2
CAPN6	2
CAPN7	7
CAPN8	38
CAPN9	96
CAPNS1	5
CAPNS2	9
CAPRIN1	2
CAPRIN2	1
CAPS	11
CAPS2	31
CAPSL	2
CAPZA1	6
CAPZA2	7
CAPZA3	7
CAPZB	9
CARD10	5
CARD11	12
CARD14	29
CARD16	303
CARD19	4
CARD6	80
CARD8	260
CARD9	5
CARF	5
CARHSP1	4
CARM1	3
CARMIL1	6
CARMIL2	0
CARMIL3	1
CARNMT1	4
CARNS1	9
CARS1	14
CARS2	7
CARTPT	1
CASC3	6
CASD1	4
CASK	9
CASKIN1	33
CASKIN2	6
CASP1	70
CASP10	125
CASP12	159
CASP14	38
CASP2	3
CASP3	5
CASP5	101
CASP6	2
CASP7	6
CASP8	29
CASP9	4
CASQ1	0
CASQ2	3
CASR	9
CASS4	15
CAST	8
CASTOR1	0
CASTOR2	5
CASZ1	1
CAT	4
CATIP	1
CATSPER1	24
CATSPER2	9
CATSPER3	1
CATSPER4	2
CATSPERB	7
CATSPERD	29
CATSPERE	18
CATSPERG	7
CATSPERZ	8
CAV1	3
CAV2	4
CAV3	3
CAVIN1	8
CAVIN2	4
CAVIN3	4
CAVIN4	7
CBARP	23
CBFA2T2	7
CBFA2T3	6
CBFB	2
CBL	4
CBLB	4
CBLC	16
CBLIF	12
CBLL1	11
CBLL2	273
CBLN1	5
CBLN2	48
CBLN3	2
CBLN4	5
CBR3	9
CBR4	6
CBS	5
CBSL	10
CBWD1	5
CBWD2	4
CBWD3	6
CBWD5	7
CBWD6	5
CBX1	5
CBX2	13
CBX3	10
CBX4	31
CBX5	5
CBX6	28
CBX7	11
CBX8	6
CBY1	6
CBY2	14
CBY3	21
CC2D1A	3
CC2D1B	2
CC2D2A	13
CC2D2B	5
CCAR1	9
CCAR2	3
CCBE1	5
CCDC102A	6
CCDC102B	48
CCDC103	6
CCDC105	16
CCDC106	7
CCDC107	8
CCDC110	13
CCDC112	7
CCDC113	2
CCDC115	3
CCDC116	12
CCDC117	5
CCDC12	1
CCDC120	14
CCDC121	63
CCDC122	11
CCDC124	8
CCDC125	19
CCDC126	7
CCDC127	14
CCDC13	1
CCDC130	10
CCDC134	0
CCDC136	1
CCDC137	2
CCDC138	12
CCDC14	10
CCDC141	5
CCDC142	6
CCDC146	3
CCDC148	4
CCDC149	1
CCDC15	77
CCDC150	23
CCDC152	4
CCDC153	54
CCDC154	10
CCDC157	12
CCDC158	29
CCDC159	22
CCDC160	15
CCDC163	188
CCDC166	32
CCDC167	4
CCDC169	64
CCDC17	1
CCDC170	12
CCDC171	6
CCDC172	6
CCDC173	5
CCDC174	9
CCDC175	9
CCDC177	48
CCDC178	10
CCDC179	2
CCDC18	13
CCDC180	20
CCDC181	10
CCDC182	7
CCDC183	27
CCDC184	14
CCDC185	35
CCDC186	4
CCDC187	20
CCDC188	14
CCDC189	8
CCDC190	31
CCDC191	4
CCDC192	26
CCDC194	11
CCDC195	12
CCDC196	40
CCDC197	140
CCDC198	5
CCDC200	26
CCDC201	18
CCDC22	7
CCDC24	3
CCDC25	4
CCDC27	7
CCDC28A	6
CCDC28B	3
CCDC3	14
CCDC30	12
CCDC32	8
CCDC33	58
CCDC34	16
CCDC38	10
CCDC39	7
CCDC40	9
CCDC42	7
CCDC43	2
CCDC47	1
CCDC50	6
CCDC51	3
CCDC54	55
CCDC57	9
CCDC59	6
CCDC6	4
CCDC60	5
CCDC61	15
CCDC62	5
CCDC63	11
CCDC65	5
CCDC66	4
CCDC68	1
CCDC69	8
CCDC7	68
CCDC70	16
CCDC71	6
CCDC71L	99
CCDC73	9
CCDC74A	43
CCDC74B	41
CCDC77	6
CCDC78	4
CCDC8	71
CCDC80	11
CCDC81	9
CCDC82	8
CCDC83	3
CCDC85A	9
CCDC85B	16
CCDC85C	74
CCDC86	15
CCDC87	33
CCDC88A	10
CCDC88B	7
CCDC88C	9
CCDC89	5
CCDC9	3
CCDC90B	5
CCDC91	9
CCDC92	14
CCDC93	3
CCDC96	33
CCDC97	1
CCDC9B	2
CCER1	17
CCER2	17
CCHCR1	7
CCIN	22
CCK	9
CCKAR	2
CCKBR	295
CCL1	9
CCL13	127
CCL16	42
CCL19	5
CCL20	3
CCL21	4
CCL22	1
CCL24	30
CCL25	6
CCL26	43
CCL27	27
CCL28	9
CCL5	261
CCM2	4
CCM2L	7
CCN1	0
CCN2	4
CCN3	1
CCN4	7
CCN5	4
CCN6	5
CCNA1	3
CCNA2	3
CCNB1	4
CCNB1IP1	18
CCNB2	3
CCNC	2
CCND1	7
CCND2	3
CCND3	1
CCNDBP1	5
CCNE1	3
CCNE2	2
CCNF	4
CCNG1	10
CCNG2	3
CCNH	5
CCNI	10
CCNI2	118
CCNJ	7
CCNJL	4
CCNK	2
CCNL1	3
CCNL2	2
CCNO	4
CCNP	38
CCNQ	41
CCNT1	8
CCNT2	14
CCNY	5
CCNYL1	64
CCP110	9
CCPG1	14
CCR1	16
CCR10	12
CCR2	17
CCR3	6
CCR4	6
CCR5	13
CCR6	16
CCR7	2
CCR8	35
CCR9	8
CCRL2	7
CCS	2
CCSAP	11
CCSER1	34
CCSER2	8
CCT2	3
CCT3	8
CCT4	13
CCT5	10
CCT6A	11
CCT6B	35
CCT7	5
CCT8	3
CCT8L2	105
CCZ1	13
CCZ1B	14
CD101	6
CD109	10
CD14	9
CD151	8
CD160	147
CD163	6
CD163L1	299
CD164	4
CD164L2	1
CD177	34
CD180	10
CD19	4
CD1D	69
CD2	5
CD200	8
CD207	30
CD22	6
CD226	8
CD24	160
CD244	11
CD247	2
CD248	58
CD27	2
CD274	4
CD276	111
CD28	3
CD2AP	10
CD2BP2	2
CD300A	17
CD300E	89
CD300LB	39
CD300LF	10
CD300LG	7
CD302	2
CD320	10
CD34	5
CD36	5
CD37	2
CD38	6
CD3D	0
CD3E	1
CD3G	6
CD4	2
CD40	3
CD40LG	3
CD44	6
CD47	1
CD48	15
CD5	4
CD52	2
CD53	0
CD55	13
CD58	83
CD59	14
CD5L	30
CD6	6
CD63	8
CD68	0
CD69	4
CD7	39
CD70	34
CD72	3
CD74	4
CD79A	1
CD79B	4
CD80	6
CD81	6
CD82	3
CD83	5
CD84	8
CD86	4
CD8A	19
CD8B	6
CD8B2	7
CD9	19
CD93	5
CD96	46
CD99	102
CD99L2	12
CDA	1
CDADC1	3
CDAN1	4
CDC123	5
CDC14A	3
CDC14B	4
CDC14C	329
CDC16	3
CDC20	0
CDC20B	54
CDC23	5
CDC25A	4
CDC25B	1
CDC25C	19
CDC26	6
CDC27	5
CDC34	9
CDC37	7
CDC37L1	5
CDC40	3
CDC42	6
CDC42BPB	5
CDC42BPG	2
CDC42EP1	11
CDC42EP2	4
CDC42EP3	4
CDC42EP4	17
CDC42EP5	57
CDC42SE1	1
CDC42SE2	6
CDC45	3
CDC5L	4
CDC6	1
CDC7	2
CDC73	3
CDCA2	3
CDCA3	8
CDCA4	24
CDCA5	22
CDCA7	3
CDCA7L	4
CDCA8	6
CDCP1	5
CDCP2	3
CDH1	3
CDH10	6
CDH11	2
CDH12	13
CDH13	4
CDH15	27
CDH16	2
CDH17	5
CDH18	18
CDH19	7
CDH2	7
CDH20	6
CDH22	2
CDH23	5
CDH24	7
CDH26	119
CDH3	4
CDH4	27
CDH5	8
CDH6	1
CDH7	7
CDH8	3
CDH9	6
CDHR1	9
CDHR2	3
CDHR3	30
CDHR4	25
CDHR5	12
CDIN1	32
CDIP1	2
CDIPT	3
CDK1	6
CDK10	3
CDK11A	183
CDK11B	25
CDK12	11
CDK13	9
CDK14	7
CDK15	4
CDK16	1
CDK17	5
CDK18	2
CDK19	2
CDK2	4
CDK20	18
CDK2AP1	1
CDK2AP2	4
CDK3	13
CDK4	6
CDK5	2
CDK5R1	14
CDK5R2	54
CDK5RAP1	6
CDK5RAP2	8
CDK5RAP3	2
CDK6	4
CDK7	7
CDK8	8
CDK9	2
CDKAL1	2
CDKL1	6
CDKL2	5
CDKL3	15
CDKL4	33
CDKL5	7
CDKN1A	6
CDKN1B	1
CDKN1C	67
CDKN2A	21
CDKN2AIP	13
CDKN2AIPNL	12
CDKN2B	25
CDKN2C	3
CDKN2D	9
CDKN3	3
CDNF	7
CDO1	4
CDON	2
CDPF1	2
CDR1	302
CDR2	14
CDR2L	14
CDRT1	17
CDRT4	7
CDS1	5
CDS2	3
CDSN	20
CDT1	7
CDV3	7
CDX1	27
CDX2	33
CDX4	78
CDYL	11
CDYL2	8
CEACAM16	5
CEACAM18	151
CEACAM19	71
CEACAM20	93
CEBPA	46
CEBPB	66
CEBPD	65
CEBPE	4
CEBPG	6
CEBPZ	9
CEBPZOS	4
CECR2	14
CEL	12
CELA1	6
CELA2A	90
CELA2B	104
CELA3A	66
CELA3B	15
CELF1	2
CELF2	3
CELF3	1
CELF4	5
CELF5	13
CELF6	2
CELSR2	3
CELSR3	3
CEMIP	5
CEMIP2	5
CEMP1	300
CENATAC	11
CEND1	7
CENPA	6
CENPB	72
CENPBD1	119
CENPC	8
CENPE	22
CENPH	8
CENPI	42
CENPJ	21
CENPK	16
CENPL	3
CENPM	3
CENPN	9
CENPO	6
CENPP	10
CENPQ	4
CENPS	4
CENPT	1
CENPU	5
CENPV	80
CENPVL1	296
CENPVL2	307
CENPVL3	281
CENPW	30
CENPX	138
CEP104	9
CEP112	10
CEP120	4
CEP126	26
CEP128	2
CEP131	9
CEP135	8
CEP152	3
CEP162	4
CEP164	6
CEP170	4
CEP170B	33
CEP19	9
CEP192	14
CEP20	9
CEP250	4
CEP290	6
CEP295	12
CEP295NL	78
CEP350	10
CEP41	7
CEP43	5
CEP44	3
CEP55	3
CEP57	3
CEP57L1	7
CEP63	6
CEP68	6
CEP70	10
CEP72	29
CEP76	4
CEP78	36
CEP83	6
CEP85	1
CEP85L	5
CEP89	13
CEP95	4
CEP97	4
CEPT1	3
CER1	1
CERCAM	5
CERK	13
CERKL	11
CERS1	49
CERS2	1
CERS3	7
CERS4	12
CERS5	1
CERS6	3
CERT1	4
CES3	103
CES4A	151
CES5A	33
CETN1	7
CETN2	11
CETN3	4
CETP	267
CFAP100	7
CFAP126	1
CFAP157	5
CFAP161	8
CFAP20	1
CFAP206	3
CFAP20DC	3
CFAP221	13
CFAP251	8
CFAP298	3
CFAP299	12
CFAP300	6
CFAP36	1
CFAP410	134
CFAP43	6
CFAP44	9
CFAP45	6
CFAP46	15
CFAP47	74
CFAP52	5
CFAP53	7
CFAP54	7
CFAP57	8
CFAP58	4
CFAP61	4
CFAP65	1
CFAP69	7
CFAP70	9
CFAP73	9
CFAP74	41
CFAP77	4
CFAP91	4
CFAP92	34
CFAP94	25
CFAP97	6
CFAP97D1	0
CFAP97D2	85
CFAP99	5
CFB	2
CFC1	29
CFC1B	24
CFD	31
CFDP1	3
CFI	4
CFL1	8
CFL2	7
CFLAR	5
CFP	8
CFTR	4
CGA	2
CGAS	24
CGB2	23
CGB5	24
CGGBP1	8
CGN	6
CGNL1	4
CGREF1	5
CGRRF1	6
CH25H	5
CH507-9B2	14
CHAC1	3
CHAC2	6
CHAD	9
CHADL	53
CHAF1A	14
CHAF1B	4
CHAMP1	33
CHAT	2
CHCHD1	1
CHCHD10	12
CHCHD2	25
CHCHD3	4
CHCHD4	11
CHCHD5	7
CHCHD6	17
CHCHD7	4
CHD1	4
CHD1L	13
CHD2	3
CHD3	7
CHD4	6
CHD5	9
CHD6	4
CHD7	3
CHD8	4
CHD9	4
CHDH	3
CHEK1	4
CHEK2	5
CHERP	6
CHFR	5
CHGA	3
CHGB	9
CHI3L1	25
CHI3L2	218
CHIC1	15
CHIC2	5
CHID1	4
CHIT1	113
CHKA	7
CHKB	1
CHL1	6
CHM	25
CHML	11
CHMP1A	285
CHMP1B	9
CHMP2A	2
CHMP2B	15
CHMP3	2
CHMP4A	59
CHMP4B	2
CHMP4C	7
CHMP5	0
CHMP6	4
CHMP7	4
CHN1	4
CHN2	2
CHODL	2
CHORDC1	6
CHP1	3
CHP2	9
CHPF	13
CHPF2	10
CHPT1	36
CHRAC1	2
CHRD	0
CHRDL1	6
CHRDL2	3
CHRFAM7A	38
CHRM1	11
CHRM2	4
CHRM3	16
CHRM4	13
CHRM5	12
CHRNA1	6
CHRNA10	5
CHRNA2	11
CHRNA3	12
CHRNA4	17
CHRNA5	8
CHRNA6	25
CHRNA7	11
CHRNA9	4
CHRNB1	6
CHRNB2	29
CHRNB3	17
CHRNB4	16
CHRND	1
CHRNE	6
CHRNG	1
CHST1	11
CHST10	6
CHST11	13
CHST12	26
CHST13	56
CHST14	20
CHST15	3
CHST2	52
CHST3	10
CHST4	7
CHST5	326
CHST6	19
CHST7	41
CHST8	15
CHST9	7
CHSY1	15
CHSY3	4
CHTF18	6
CHTF8	3
CHTOP	2
CHUK	2
CHURC1	2
CIAO1	1
CIAO2A	4
CIAO2B	3
CIAO3	5
CIAPIN1	7
CIART	4
CIB1	1
CIB2	8
CIB3	3
CIB4	15
CIBAR1	5
CIBAR2	31
CIC	12
CIDEA	17
CIDEB	2
CIDEC	5
CIITA	12
CILK1	5
CILP	8
CILP2	25
CINP	7
CIP2A	4
CIPC	9
CIR1	6
CIRBP	91
CISD1	1
CISD2	4
CISD3	2
CISH	2
CIT	3
CITED1	24
CITED2	27
CITED4	38
CIZ1	2
CKAP2	33
CKAP2L	13
CKAP4	15
CKAP5	5
CKB	11
CKLF	6
CKM	5
CKMT1A	4
CKMT1B	4
CKMT2	2
CKS1B	4
CKS2	4
CLASP1	3
CLASP2	2
CLASRP	2
CLBA1	36
CLCA1	8
CLCA2	18
CLCA4	31
CLCC1	6
CLCF1	0
CLCN1	5
CLCN2	3
CLCN3	5
CLCN4	17
CLCN5	11
CLCN6	2
CLCN7	2
CLCNKA	17
CLCNKB	32
CLDN1	1
CLDN10	4
CLDN11	0
CLDN12	4
CLDN14	18
CLDN15	2
CLDN16	3
CLDN17	7
CLDN18	1
CLDN19	4
CLDN2	12
CLDN20	3
CLDN22	111
CLDN23	23
CLDN24	116
CLDN25	49
CLDN3	10
CLDN34	125
CLDN4	10
CLDN5	14
CLDN6	10
CLDN7	3
CLDN8	6
CLDN9	10
CLDND1	6
CLDND2	36
CLEC11A	9
CLEC12A	15
CLEC12B	61
CLEC14A	16
CLEC16A	5
CLEC18A	5
CLEC18B	3
CLEC18C	6
CLEC19A	72
CLEC1A	5
CLEC1B	2
CLEC20A	43
CLEC2A	186
CLEC2B	115
CLEC2D	207
CLEC2L	9
CLEC3A	2
CLEC3B	12
CLEC4D	36
CLEC4E	4
CLEC4F	39
CLEC4G	21
CLEC5A	46
CLEC7A	5
CLEC9A	19
CLECL1	229
CLGN	3
CLHC1	4
CLIC1	2
CLIC2	40
CLIC3	16
CLIC4	3
CLIC5	8
CLIC6	49
CLINT1	1
CLIP1	9
CLIP2	12
CLIP3	12
CLIP4	3
CLK1	1
CLK2	2
CLK3	2
CLK4	4
CLMN	14
CLMP	6
CLN3	6
CLN5	2
CLN6	7
CLN8	32
CLNK	6
CLNS1A	5
CLOCK	2
CLP1	12
CLPB	3
CLPP	5
CLPS	6
CLPSL1	148
CLPSL2	162
CLPTM1	4
CLPTM1L	5
CLPX	5
CLRN1	1
CLRN2	3
CLRN3	2
CLSPN	3
CLSTN1	6
CLSTN2	4
CLSTN3	6
CLTA	1
CLTB	7
CLTC	8
CLTCL1	193
CLU	7
CLUAP1	5
CLUH	6
CLUL1	24
CLVS1	6
CLVS2	3
CLYBL	7
CMAS	3
CMBL	10
CMC1	4
CMC2	11
CMC4	6
CMIP	5
CMKLR1	9
CMPK1	4
CMPK2	56
CMSS1	6
CMTM1	39
CMTM2	14
CMTM3	3
CMTM4	1
CMTM5	1
CMTM6	9
CMTM7	2
CMTM8	8
CMTR1	3
CMTR2	9
CNBD1	30
CNBD2	9
CNBP	5
CNDP1	11
CNDP2	9
CNEP1R1	3
CNFN	4
CNGA1	6
CNGA2	30
CNGA3	20
CNGA4	14
CNGB1	5
CNGB3	15
CNIH1	0
CNIH2	3
CNIH3	4
CNIH4	4
CNKSR1	2
CNKSR2	10
CNKSR3	5
CNMD	6
CNN1	7
CNN2	22
CNN3	4
CNNM1	22
CNNM2	22
CNNM3	79
CNNM4	51
CNOT1	7
CNOT10	8
CNOT11	1
CNOT2	2
CNOT3	10
CNOT4	6
CNOT6	4
CNOT6L	2
CNOT7	2
CNOT8	1
CNOT9	3
CNP	8
CNPPD1	1
CNPY1	131
CNPY2	1
CNPY3	4
CNPY4	0
CNR1	3
CNR2	18
CNRIP1	1
CNST	3
CNTD1	2
CNTF	2
CNTFR	2
CNTLN	7
CNTN1	10
CNTN2	1
CNTN3	6
CNTN4	7
CNTN5	13
CNTN6	3
CNTNAP1	1
CNTNAP2	33
CNTNAP5	78
CNTRL	15
CNTROB	3
COA1	70
COA3	3
COA4	6
COA5	1
COA6	111
COA7	12
COA8	10
COASY	2
COBL	31
COBLL1	8
COCH	3
COG1	14
COG2	10
COG3	5
COG4	3
COG5	4
COG6	7
COG7	1
COG8	3
COIL	20
COL10A1	11
COL11A1	7
COL11A2	7
COL12A1	12
COL13A1	5
COL14A1	8
COL15A1	8
COL16A1	1
COL17A1	8
COL18A1	13
COL19A1	4
COL1A1	4
COL1A2	3
COL20A1	35
COL21A1	44
COL22A1	14
COL23A1	7
COL24A1	6
COL25A1	10
COL26A1	10
COL27A1	9
COL28A1	39
COL2A1	0
COL3A1	3
COL4A1	5
COL4A2	11
COL4A3	8
COL4A4	6
COL4A5	15
COL4A6	19
COL5A1	15
COL5A2	4
COL5A3	8
COL6A1	18
COL6A2	13
COL6A3	9
COL6A5	15
COL6A6	8
COL7A1	18
COL8A1	5
COL8A2	10
COL9A1	2
COL9A2	8
COL9A3	7
COLCA2	6
COLEC10	3
COLEC11	18
COLEC12	5
COLGALT1	13
COLGALT2	6
COLQ	8
COMMD1	5
COMMD10	4
COMMD2	5
COMMD3	8
COMMD4	9
COMMD5	34
COMMD6	4
COMMD7	3
COMMD8	1
COMMD9	0
COMP	8
COMT	22
COMTD1	4
COP1	3
COPA	2
COPB1	5
COPB2	2
COPE	4
COPG1	13
COPG2	11
COPRS	1
COPS2	2
COPS3	7
COPS4	9
COPS5	3
COPS6	0
COPS7A	3
COPS7B	5
COPS8	4
COPS9	323
COPZ1	5
COPZ2	2
COQ10A	2
COQ10B	2
COQ2	14
COQ3	5
COQ4	4
COQ5	10
COQ6	2
COQ7	3
COQ8A	5
COQ8B	3
COQ9	3
CORIN	4
CORO1A	0
CORO1B	2
CORO1C	4
CORO2A	4
CORO2B	5
CORO7	3
CORT	25
COTL1	1
COX10	4
COX11	3
COX14	1
COX15	1
COX16	9
COX17	16
COX18	4
COX19	9
COX20	3
COX4I1	3
COX4I2	1
COX5A	0
COX5B	4
COX6A1	4
COX6A2	3
COX6B1	10
COX6B2	23
COX6C	28
COX7A1	2
COX7A2	4
COX7A2L	5
COX7B	11
COX7B2	6
COX7C	9
COX8A	4
COX8C	19
CP	1
CPA1	3
CPA2	129
CPA3	48
CPA4	13
CPA5	9
CPA6	10
CPAMD8	106
CPB1	3
CPB2	4
CPD	6
CPE	6
CPEB1	3
CPEB2	119
CPEB3	7
CPEB4	4
CPED1	8
CPHXL	255
CPLANE1	43
CPLANE2	4
CPLX1	8
CPLX2	1
CPLX3	1
CPLX4	4
CPM	8
CPN1	6
CPN2	18
CPNE1	5
CPNE2	3
CPNE3	5
CPNE4	8
CPNE5	5
CPNE6	0
CPNE7	67
CPNE8	8
CPNE9	1
CPO	116
CPOX	7
CPPED1	6
CPQ	3
CPS1	7
CPSF1	11
CPSF2	5
CPSF3	7
CPSF4	10
CPSF4L	64
CPSF6	7
CPSF7	5
CPT1A	7
CPT1B	3
CPT1C	10
CPT2	13
CPTP	5
CPVL	7
CPXCR1	210
CPXM1	1
CPXM2	6
CPZ	7
CR1L	184
CR2	14
CRABP1	4
CRABP2	2
CRACDL	46
CRACR2A	4
CRACR2B	10
CRADD	6
CRAMP1	2
CRAT	2
CRB1	43
CRB2	10
CRB3	1
CRBN	7
CRCP	4
CRCT1	21
CREB1	1
CREB3	2
CREB3L1	4
CREB3L2	4
CREB3L3	18
CREB3L4	3
CREB5	2
CREBBP	3
CREBL2	4
CREBRF	3
CREBZF	30
CREG1	5
CREG2	46
CRELD1	12
CRELD2	11
CREM	7
CRH	8
CRHBP	2
CRHR1	6
CRHR2	3
CRIM1	1
CRIP1	2
CRIP2	24
CRIP3	5
CRIPT	6
CRISP1	44
CRISP3	55
CRISPLD1	3
CRISPLD2	3
CRK	8
CRKL	7
CRLF1	15
CRLF2	138
CRLF3	8
CRLS1	5
CRMP1	9
CRNKL1	4
CRNN	89
CROCC	9
CROCC2	10
CROT	5
CRP	162
CRPPA	6
CRTAC1	3
CRTAM	3
CRTAP	12
CRTC1	8
CRTC2	6
CRTC3	4
CRX	21
CRY1	5
CRY2	0
CRYAA	8
CRYAA2	8
CRYAB	1
CRYBA1	5
CRYBA2	16
CRYBA4	14
CRYBB1	17
CRYBB2	7
CRYBB3	18
CRYBG1	11
CRYBG2	13
CRYGA	39
CRYGB	25
CRYGC	17
CRYGD	53
CRYGN	39
CRYGS	7
CRYL1	6
CRYM	2
CRYZ	4
CRYZL1	3
CS	7
CSAD	6
CSDC2	1
CSDE1	2
CSE1L	4
CSF1	5
CSF1R	3
CSF2	1
CSF2RA	165
CSF2RB	38
CSF3	1
CSF3R	3
CSGALNACT1	5
CSGALNACT2	1
CSH1	239
CSH2	20
CSK	2
CSKMT	42
CSMD1	37
CSMD2	7
CSMD3	19
CSN1S1	17
CSN2	18
CSN3	14
CSNK1A1	6
CSNK1A1L	320
CSNK1D	10
CSNK1E	5
CSNK1G1	9
CSNK1G2	22
CSNK1G3	3
CSNK2A1	2
CSNK2A2	1
CSNK2B	5
CSNKA2IP	27
CSPG4	21
CSPG5	11
CSPP1	43
CSRNP1	5
