gene	in_marine_slow	in_aquatic_slow	partition	marine_direction	aquatic_direction	marine_FDR	aquatic_FDR	marine_statistic_if_available	aquatic_statistic_if_available
CHST7	TRUE	TRUE	shared_slow	slow	slow	0.00505456	0.00289474	3.674728	3.915753
CHSY1	TRUE	TRUE	shared_slow	slow	slow	0.00184544	0.00068474	3.995785	4.370617
CIAO2B	TRUE	TRUE	shared_slow	slow	slow	0.000665963	0.00166551	4.332933	4.090443
CIAO3	TRUE	FALSE	marine_only_slow	slow	not_significant	1.143e-05		5.553978	2.943457
CIB1	TRUE	TRUE	shared_slow	slow	slow	6.31357e-05	7.90169e-05	4.922873	4.946382
CIBAR2	FALSE	FALSE	shared_fast	fast	fast	0.00533252	0.00469701	-3.746027	-3.827751
CIITA	TRUE	TRUE	shared_slow	slow	slow	0.000352946	0.00130202	4.550602	4.176941
CILP2	TRUE	TRUE	shared_slow	slow	slow	1.35965e-06	1.34952e-05	6.111169	5.552139
CIRBP	TRUE	FALSE	marine_only_slow	slow	not_significant	1.93311e-05		5.233047	1.194442
CISD2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.000556778		4.374516	3.394136
CKAP5	TRUE	FALSE	marine_only_slow	slow	not_significant	0.0023317		3.945189	2.755495
CLASP2	TRUE	TRUE	shared_slow	slow	slow	3.59197e-06	5.79293e-07	5.812793	6.239690
CLCNKA	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00990242		3.355692	3.189464
CLDN25	FALSE	FALSE	marine_fast_only	fast	not_significant	0.00955499		-3.514339	-3.440628
CLEC14A	TRUE	TRUE	shared_slow	slow	slow	0.00128614	0.00307856	4.179597	3.902671
CLEC18A	TRUE	TRUE	shared_slow	slow	slow	0.00227838	0.00648272	3.955841	3.630028
CLEC18B	TRUE	TRUE	shared_slow	slow	slow	0.00153478	0.00431323	4.051669	3.751415
CLEC18C	TRUE	FALSE	marine_only_slow	slow	not_significant	0.0015399		4.083162	3.447337
CLPSL2	FALSE	FALSE	shared_fast	fast	fast	0.0034769	0.00325054	-3.856129	-3.937942
CLSTN2	FALSE	FALSE	shared_fast	fast	fast	0.000344147	0.000307883	-4.615182	-4.692281
CLTCL1	TRUE	TRUE	shared_slow	slow	slow	0.00419268	0.00269037	3.998087	4.049490
CLU	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00926198		3.375164	3.144318
CLUAP1	TRUE	TRUE	shared_slow	slow	slow	0.00617734	0.00941502	3.580941	3.468386
CLUL1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00885252		3.397045	3.054375
CMC4	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00459575		3.679068	2.783231
CMTM6	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00695702	2.692869	3.581410
CNBD1	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00446232	2.902200	3.811444
CNGA4	FALSE	FALSE	shared_fast	fast	fast	0.00842137	0.00767673	-3.539288	-3.623040
CNOT10	TRUE	TRUE	shared_slow	slow	slow	0.000154929	0.000660707	4.768360	4.372502
CNOT6	TRUE	TRUE	shared_slow	slow	slow	0.00752549	0.00213052	3.494592	3.996321
CNST	TRUE	TRUE	shared_slow	slow	slow	0.000321102	0.000419697	4.542496	4.510671
CNTN2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00180028		4.009902	2.530769
CNTRL	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00727025		3.501097	3.147693
COL11A1	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00909366	3.273792	3.446154
COL19A1	FALSE	FALSE	shared_fast	fast	fast	0.000532234	0.00119853	-4.467248	-4.252763
COL20A1	FALSE	FALSE	shared_fast	fast	fast	0.00875242	0.00267595	-3.454973	-3.957386
COL4A1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00684229		3.549766	3.306323
COL5A2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.000168459		4.777957	2.629121
COL7A1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00459575		3.658278	3.365185
COL9A1	FALSE	FALSE	shared_fast	fast	fast	1.00076e-05	1.93913e-05	-5.707512	-5.550913
COMMD4	TRUE	TRUE	shared_slow	slow	slow	1.15591e-08	1.82723e-09	6.907648	7.267178
COMT	TRUE	TRUE	shared_slow	slow	slow	0.00082372	0.00128867	4.265184	4.173714
COP1	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00987673	3.073487	3.436966
COPS8	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00283095		3.841714	2.991610
CORO2A	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00499762	3.105948	3.720488
CPA3	FALSE	FALSE	shared_fast	fast	fast	0.00184544	0.00450743	-4.105932	-3.815171
CPEB1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.000163492		4.777059	3.420875
CPLX2	TRUE	TRUE	shared_slow	slow	slow	0.00333198	0.00912486	3.791812	3.472031
CPNE3	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00792449		3.468672	3.226580
CPSF6	TRUE	TRUE	shared_slow	slow	slow	0.00438566	0.000879478	3.714749	4.316363
CR2	TRUE	TRUE	shared_slow	slow	slow	1.17218e-07	1.11351e-07	6.720782	6.705935
CRACR2A	FALSE	FALSE	shared_fast	fast	fast	0.000270165	0.00113899	-4.715884	-4.280108
CRB1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00633131		3.543419	2.816201
CRB3	TRUE	TRUE	shared_slow	slow	slow	0.00161762	0.00377438	4.006187	3.778853
CREB1	TRUE	TRUE	shared_slow	slow	slow	6.05536e-05	0.000223284	4.957791	4.657328
CREB3L3	TRUE	TRUE	shared_slow	slow	slow	3.45438e-05	0.000148268	5.225585	4.854588
CREB3L4	TRUE	FALSE	marine_only_slow	slow	not_significant	2.57361e-05		5.283958	3.392316
CRTC1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00592363		3.590808	2.906693
CRYGA	FALSE	FALSE	shared_fast	fast	fast	0.00162437	0.00100331	-4.154601	-4.368100
CSF2RA	TRUE	TRUE	shared_slow	slow	slow	0.000604833	3.56249e-05	4.309200	5.220009
CSH1	TRUE	TRUE	shared_slow	slow	slow	5.3301e-05	6.81246e-05	5.178533	5.172218
CSMD1	TRUE	TRUE	shared_slow	slow	slow	0.000793083	0.00392578	4.234606	3.764339
CSMD2	FALSE	FALSE	shared_fast	fast	fast	0.000312231	0.000784082	-4.644495	-4.393233
CTD_3088G3	TRUE	FALSE	marine_only_slow	slow	not_significant	0.000321102		4.542691	3.176774
CTH	TRUE	TRUE	shared_slow	slow	slow	0.00113043	0.0018292	4.160344	4.051035
CUL7	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00883676		3.425475	3.135136
CX3CR1	TRUE	TRUE	shared_slow	slow	slow	9.70377e-06	1.247e-05	5.608395	5.565792
CXCL13	TRUE	TRUE	shared_slow	slow	slow	1.85607e-10	1.07423e-06	7.899775	6.095153
CXCR3	TRUE	TRUE	shared_slow	slow	slow	2.755e-08	7.58894e-07	6.740905	6.081212
CXorf66	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00347245		3.721781	3.258718
CYBRD1	TRUE	TRUE	shared_slow	slow	slow	4.53191e-05	4.24717e-05	5.173116	5.223271
CYP11A1	TRUE	TRUE	shared_slow	slow	slow	0.000168334	0.000827685	4.731528	4.294038
CYP17A1	TRUE	TRUE	shared_slow	slow	slow	3.15051e-12	6.35564e-09	8.479322	7.107731
CYP1B1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00196378		4.002800	3.294639
CYP21A2	TRUE	TRUE	shared_slow	slow	slow	0.000231982	0.000119357	4.627233	4.874076
CYP24A1	TRUE	TRUE	shared_slow	slow	slow	0.00164266	0.0029978	4.062334	3.899811
CYP2U1	TRUE	TRUE	shared_slow	slow	slow	5.09304e-05	0.00133146	5.111101	4.168433
CYP2W1	FALSE	FALSE	marine_fast_only	fast	not_significant	0.00513568		-3.678954	-3.030737
CYP51A1	TRUE	TRUE	shared_slow	slow	slow	0.00489076	0.00626269	3.664522	3.628277
CYP7A1	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00596769	3.317522	3.656669
CYP7B1	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00880991	3.291893	3.492849
CYTH3	TRUE	TRUE	shared_slow	slow	slow	0.00091409	0.00246893	4.234761	3.949234
DAG1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00507891		3.650408	3.341172
DAP3	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00143831		4.080572	3.287619
DARS2	TRUE	TRUE	shared_slow	slow	slow	2.66928e-05	0.000301819	5.271614	4.615248
DBNL	FALSE	FALSE	shared_fast	fast	fast	0.00672983	0.00522507	-3.573840	-3.728243
DBP	TRUE	TRUE	shared_slow	slow	slow	4.98907e-06	2.09082e-05	5.796419	5.441013
DCAF1	TRUE	TRUE	shared_slow	slow	slow	2.32458e-09	8.28444e-09	7.254196	6.995764
DCAF12L1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00504874		3.610558	3.123472
DCAF12L2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00441566		4.023165	2.600695
DCAF8L2	TRUE	TRUE	shared_slow	slow	slow	0.000330443	0.000298735	4.481323	4.597313
DCBLD2	TRUE	TRUE	shared_slow	slow	slow	0.0010849	0.00865555	4.197866	3.507767
DCHS2	TRUE	TRUE	shared_slow	slow	slow	2.57927e-07	3.27955e-05	6.332343	5.237796
DCLRE1C	FALSE	FALSE	marine_fast_only	fast	not_significant	0.00758799		-3.538419	-3.449715
DCP1B	FALSE	FALSE	marine_fast_only	fast	not_significant	0.00690726		-3.567232	-3.186422
DCTPP1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.0054601		3.631501	2.658322
DCXR	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00364505		3.721424	0.801068
DDA1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00786169		3.474048	2.360505
DDAH2	TRUE	TRUE	shared_slow	slow	slow	0.000194772	0.000808069	4.737500	4.339458
DDI2	TRUE	TRUE	shared_slow	slow	slow	0.000381116	0.000751046	4.529154	4.366085
DDIAS	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00105108		4.249280	3.391216
DDR1	TRUE	TRUE	shared_slow	slow	slow	0.00451063	0.00496751	3.713456	3.725648
DDX21	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00671656		3.561127	2.918945
DDX39A	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00528405		3.626427	3.227074
DDX46	TRUE	TRUE	shared_slow	slow	slow	0.000168459	0.00146785	4.809577	4.146546
DECR1	TRUE	TRUE	shared_slow	slow	slow	4.07672e-06	1.05786e-06	5.838793	6.163729
DECR2	TRUE	TRUE	shared_slow	slow	slow	0.00468924	0.00913919	3.689928	3.487097
DEFB105B	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00667519	3.259071	3.647168
DEFB113	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00693905		3.485417	3.103521
DEFB114	TRUE	TRUE	shared_slow	slow	slow	0.000726447	0.00185663	4.399128	4.102539
DEFB125	TRUE	TRUE	shared_slow	slow	slow	0.000281448	0.000534818	4.501243	4.393589
DEFB131A	TRUE	FALSE	marine_only_slow	slow	not_significant	0.0040709		3.792157	3.153758
DEFB131B	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00154535		4.130651	3.320738
DENND2D	TRUE	TRUE	shared_slow	slow	slow	0.000290266	0.0024707	4.629646	3.965810
DENND4A	TRUE	TRUE	shared_slow	slow	slow	0.000391769	0.000527645	4.436330	4.414876
DENND4C	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00545472		3.625050	3.105620
DENND5B	TRUE	TRUE	shared_slow	slow	slow	9.29328e-06	0.000149129	5.486417	4.796246
DET1	TRUE	TRUE	shared_slow	slow	slow	8.76082e-05	0.00158877	4.919916	4.080628
DEUP1	FALSE	FALSE	shared_fast	fast	fast	0.00184544	0.0020711	-4.063485	-4.074410
DGCR2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00328866		3.786453	3.058430
DGKK	TRUE	TRUE	shared_slow	slow	slow	0.00014893	0.00110597	4.810038	4.220079
DHH	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00730055		3.519388	2.885219
DHRS7	TRUE	TRUE	shared_slow	slow	slow	0.00165072	0.00818354	3.993895	3.494099
DHX30	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00249143		3.883733	3.194842
DIAPH2	TRUE	TRUE	shared_slow	slow	slow	0.00175451	0.00961907	4.014216	3.452003
DIP2C	TRUE	TRUE	shared_slow	slow	slow	0.000216457	0.00889093	4.659626	3.476499
DIRAS3	TRUE	TRUE	shared_slow	slow	slow	5.60931e-05	0.000133057	5.008866	4.840090
DISP3	FALSE	FALSE	aquatic_fast_only	not_significant	fast		0.00670693	-3.078317	-3.630142
DLEU7	TRUE	FALSE	marine_only_slow	slow	not_significant	0.000490949		4.431116	2.864942
DLK1	TRUE	TRUE	shared_slow	slow	slow	3.94969e-06	1.07423e-06	5.767716	6.077221
DMAC2L	TRUE	TRUE	shared_slow	slow	slow	0.00035448	0.0016884	4.490466	4.066824
DMWD	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00154535		4.078104	1.182130
DNAAF2	TRUE	TRUE	shared_slow	slow	slow	0.000211391	0.00106141	4.693919	4.226373
DNAH1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00592062		3.597710	2.882501
DNAH10	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00821659		3.414680	3.384387
DNAH5	FALSE	FALSE	shared_fast	fast	fast	0.000454095	0.000822519	-4.515199	-4.377664
DNAH7	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00187118		3.998358	3.120194
DNAH8	TRUE	TRUE	shared_slow	slow	slow	0.00132699	0.00115946	4.141627	4.234092
DNAJA2	TRUE	TRUE	shared_slow	slow	slow	0.00306817	0.00195777	3.808224	4.008472
DNAJB9	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00464758	3.357828	3.748493
DNAJC13	TRUE	TRUE	shared_slow	slow	slow	0.00137136	0.00320462	4.109770	3.866016
DNM3	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00342341		3.786792	2.856911
DNMT1	TRUE	TRUE	shared_slow	slow	slow	1.902e-07	3.29126e-06	6.437712	5.817241
DOCK3	TRUE	TRUE	shared_slow	slow	slow	3.47574e-05	0.000389686	5.230495	4.559530
DOCK7	TRUE	TRUE	shared_slow	slow	slow	2.56919e-05	3.99941e-05	5.312553	5.229998
DOCK9	TRUE	TRUE	shared_slow	slow	slow	4.25601e-05	0.00113899	5.175144	4.224083
DONSON	TRUE	TRUE	shared_slow	slow	slow	2.35347e-05	0.00508973	5.248656	3.680589
DPEP2	FALSE	FALSE	marine_fast_only	fast	not_significant	0.00762656		-3.560405	-3.486737
DPP8	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00862938	3.163668	3.498840
DPPA2	TRUE	TRUE	shared_slow	slow	slow	1.28441e-07	1.07423e-06	6.510485	6.065047
DPY19L2	TRUE	TRUE	shared_slow	slow	slow	2.35347e-05	0.000261179	5.224395	4.622251
DPY19L3	TRUE	TRUE	shared_slow	slow	slow	0.000191472	4.93137e-05	4.769795	5.200675
DPYD	TRUE	FALSE	marine_only_slow	slow	not_significant	0.001348		4.107121	3.039840
DSC1	FALSE	FALSE	shared_fast	fast	fast	0.00023047	0.000718972	-4.862852	-4.497790
DSC3	FALSE	FALSE	shared_fast	fast	fast	0.000625776	0.00146263	-4.428859	-4.194080
DSG3	FALSE	FALSE	shared_fast	fast	fast	0.000265684	0.000617843	-4.726912	-4.498884
DSTYK	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00056399		4.420356	2.822108
DTWD1	TRUE	TRUE	shared_slow	slow	slow	0.00249012	0.00934756	3.900960	3.466061
DUOX1	FALSE	FALSE	shared_fast	fast	fast	0.000251732	0.000340076	-4.750803	-4.704626
DUSP6	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00652927		3.565375	3.008279
DUSP9	TRUE	TRUE	shared_slow	slow	slow	0.000407967	0.0023579	4.507714	3.978156
DVL3	TRUE	TRUE	shared_slow	slow	slow	0.000877027	0.00377438	4.278290	3.825850
DYNC1LI2	TRUE	TRUE	shared_slow	slow	slow	0.00378405	0.00541587	3.689548	3.635269
DYTN	TRUE	TRUE	shared_slow	slow	slow	0.00499063	0.00938564	3.627333	3.446108
EDAR	FALSE	FALSE	shared_fast	fast	fast	0.000418832	0.000676769	-4.583523	-4.480944
EEA1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.003642		3.781712	2.885679
EFCAB5	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.0065365	3.190858	3.623759
EFEMP1	TRUE	TRUE	shared_slow	slow	slow	4.14427e-05	0.00210613	5.153495	4.001438
EFNA4	TRUE	TRUE	shared_slow	slow	slow	0.0010849	0.00288636	4.154323	3.873057
EGFL8	TRUE	TRUE	shared_slow	slow	slow	7.72368e-05	0.00145943	5.018117	4.142644
EHHADH	TRUE	TRUE	shared_slow	slow	slow	1.6e-05	8.61432e-06	5.457926	5.658179
EHMT1	TRUE	TRUE	shared_slow	slow	slow	8.94304e-06	0.000101293	5.601784	4.964202
EHMT2	TRUE	TRUE	shared_slow	slow	slow	0.000464113	0.00755315	4.458732	3.551600
EIF3E	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00247113		3.903584	3.225803
EIF4H	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00247804		3.877670	1.354861
ELAVL1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00592363		3.574903	3.392161
ELF1	TRUE	TRUE	shared_slow	slow	slow	0.00208339	0.0024064	3.957933	3.951611
ELL	TRUE	TRUE	shared_slow	slow	slow	0.000187876	1.25929e-05	4.750196	5.557161
ELMO2	TRUE	TRUE	shared_slow	slow	slow	0.000850549	0.00603704	4.280539	3.654226
ELOA2	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00737174	3.247114	3.651373
ELOB	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00892685		3.441193	3.196680
EMCN	TRUE	TRUE	shared_slow	slow	slow	2.3697e-07	8.21669e-07	6.324083	6.079642
EMSY	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00268065		3.890079	2.201076
ENG	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00596769	3.283828	3.653154
ENOX2	TRUE	TRUE	shared_slow	slow	slow	6.29101e-06	8.25192e-05	5.740718	5.057180
ENTPD1	TRUE	TRUE	shared_slow	slow	slow	0.000425849	0.000261344	4.441817	4.638902
ENTPD3	FALSE	TRUE	aquatic_only_slow	not_significant	slow		0.00449329	3.367456	3.745328
EPC1	FALSE	FALSE	shared_fast	fast	fast	0.00399285	0.00452652	-3.777899	-3.788151
EPG5	TRUE	TRUE	shared_slow	slow	slow	0.000474018	0.00229035	4.458858	3.987501
EPHX3	TRUE	TRUE	shared_slow	slow	slow	1.27483e-05	9.6244e-06	5.472823	5.574717
EPM2AIP1	TRUE	TRUE	shared_slow	slow	slow	0.0034776	0.00102427	3.790171	4.256695
EPOR	TRUE	TRUE	shared_slow	slow	slow	0.00480986	0.00198622	3.686531	4.053610
EPS15L1	TRUE	TRUE	shared_slow	slow	slow	1.35965e-06	3.1565e-06	6.029311	5.857859
EPX	FALSE	FALSE	shared_fast	fast	fast	0.000216457	0.000516349	-4.754812	-4.521091
ERAS	TRUE	TRUE	shared_slow	slow	slow	2.95091e-07	1.51975e-07	6.413139	6.574993
ERBB3	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00901611		3.439322	2.786407
ERCC6L	TRUE	TRUE	shared_slow	slow	slow	0.000440832	0.000500431	4.464732	4.467409
ERCC6L2	TRUE	TRUE	shared_slow	slow	slow	0.000264687	0.000142811	4.666662	4.893059
ERG	TRUE	TRUE	shared_slow	slow	slow	0.000454095	0.00020649	4.472152	4.762545
ERMARD	TRUE	FALSE	marine_only_slow	slow	not_significant	0.0011966		4.129577	2.783414
ESM1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00686548		3.526594	3.314338
ESYT3	FALSE	FALSE	shared_fast	fast	fast	0.000316143	0.000843309	-4.663423	-4.386259
ETNK2	TRUE	TRUE	shared_slow	slow	slow	4.33733e-07	1.62004e-05	6.174322	5.400900
ETV2	TRUE	TRUE	shared_slow	slow	slow	3.94969e-06	2.59217e-05	5.810676	5.348985
EVA1A	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00960793		3.411799	2.931209
EVPL	FALSE	FALSE	shared_fast	fast	fast	0.0032781	0.00265942	-3.859047	-3.980684
EVPLL	FALSE	FALSE	aquatic_fast_only	not_significant	fast		0.00812182	-3.366151	-3.554340
EXOC2	TRUE	TRUE	shared_slow	slow	slow	0.00869109	0.00307779	3.434025	3.867727
EXOSC7	TRUE	TRUE	shared_slow	slow	slow	0.0011123	0.00144836	4.187631	4.146781
F11	TRUE	TRUE	shared_slow	slow	slow	0.00270891	0.00467926	3.885976	3.740091
F2	TRUE	TRUE	shared_slow	slow	slow	0.00132044	0.00546077	4.134286	3.685724
F2R	TRUE	TRUE	shared_slow	slow	slow	0.00588439	0.00865555	3.593500	3.499550
F8	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00617734		3.593907	2.601131
F9	TRUE	TRUE	shared_slow	slow	slow	8.01079e-05	0.000942247	4.966163	4.270291
FAAP100	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00510086		3.650723	2.710977
FABP7	TRUE	TRUE	shared_slow	slow	slow	6.75526e-09	2.89036e-05	6.918583	5.224379
FAM110C	TRUE	TRUE	shared_slow	slow	slow	0.00294764	0.00110597	3.829884	4.208393
FAM120C	TRUE	TRUE	shared_slow	slow	slow	0.00135292	0.00670693	4.125096	3.607613
FAM13A	FALSE	FALSE	shared_fast	fast	fast	0.00350335	0.00176049	-3.819410	-4.116817
FAM151B	TRUE	TRUE	shared_slow	slow	slow	0.00443604	0.00431615	3.717905	3.783799
FAM171B	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00135571		4.077761	2.631061
FAM184B	FALSE	FALSE	shared_fast	fast	fast	0.000548609	0.00109459	-4.455653	-4.279543
FAM20B	TRUE	TRUE	shared_slow	slow	slow	0.00241559	0.00450743	3.919876	3.752966
FAM20C	TRUE	TRUE	shared_slow	slow	slow	0.00520691	0.00367294	3.645184	3.823301
FAM210A	TRUE	TRUE	shared_slow	slow	slow	0.000294904	0.00304008	4.574780	3.862462
FAM219A	TRUE	TRUE	shared_slow	slow	slow	0.00570667	0.00845681	3.602577	3.509053
FAM220A	TRUE	TRUE	shared_slow	slow	slow	0.00605176	0.00138181	3.598213	4.169695
FAM234A	TRUE	FALSE	marine_only_slow	slow	not_significant	0.000604833		4.368181	3.416449
FAM32A	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00347245		3.775740	2.248318
FAM83G	FALSE	FALSE	aquatic_fast_only	not_significant	fast		0.0095765	-3.399641	-3.498324
FANCA	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00356362		3.774523	3.014025
FANCD2	TRUE	TRUE	shared_slow	slow	slow	0.00453245	0.0012809	3.693468	4.182102
FANCI	TRUE	TRUE	shared_slow	slow	slow	5.5552e-05	0.00144836	5.115074	4.147739
FANCM	TRUE	TRUE	shared_slow	slow	slow	1.71047e-08	1.36693e-07	7.102275	6.632868
FAR2	TRUE	TRUE	shared_slow	slow	slow	1.46578e-06	0.00036699	5.876985	4.514198
FASN	TRUE	TRUE	shared_slow	slow	slow	2.65561e-05	0.00222727	5.346999	4.008140
FBLIM1	TRUE	TRUE	shared_slow	slow	slow	1.0672e-08	2.78307e-05	6.939403	5.260679
FBN2	TRUE	TRUE	shared_slow	slow	slow	0.00153478	0.00214624	4.107949	4.034911
FBXL16	TRUE	TRUE	shared_slow	slow	slow	0.00120541	0.00560224	4.167467	3.676825
FBXL19	TRUE	TRUE	shared_slow	slow	slow	5.26695e-06	0.000145757	5.715215	4.867828
FBXL2	TRUE	TRUE	shared_slow	slow	slow	2.31398e-09	2.78147e-07	7.404523	6.403159
FBXL8	TRUE	TRUE	shared_slow	slow	slow	4.22296e-06	1.75287e-06	5.841628	6.059016
FBXO16	TRUE	TRUE	shared_slow	slow	slow	0.00441711	0.00641156	3.638744	3.577110
FBXO25	TRUE	TRUE	shared_slow	slow	slow	0.00158472	0.00385239	4.044097	3.787621
FBXO3	TRUE	TRUE	shared_slow	slow	slow	1.86221e-08	3.79706e-06	7.010530	5.819062
FBXO38	TRUE	TRUE	shared_slow	slow	slow	0.00220375	0.00835472	3.962342	3.523557
FBXO41	TRUE	TRUE	shared_slow	slow	slow	0.000345729	0.0012976	4.515409	4.150850
FBXO7	TRUE	TRUE	shared_slow	slow	slow	0.00135978	0.00494495	4.120624	3.719091
FBXW12	TRUE	TRUE	shared_slow	slow	slow	0.00734313	0.000647256	3.736196	4.594020
FCGRT	TRUE	TRUE	shared_slow	slow	slow	1.55579e-05	1.95755e-05	5.445476	5.420747
FER1L6	FALSE	FALSE	shared_fast	fast	fast	0.000611161	0.000349352	-4.442225	-4.677313
FERD3L	TRUE	TRUE	shared_slow	slow	slow	0.000251194	0.00209042	4.660512	4.018901
FGD4	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00342341		3.791967	3.021759
FHL5	FALSE	FALSE	shared_fast	fast	fast	0.00310124	0.00449798	-3.882763	-3.800584
FIZ1	TRUE	TRUE	shared_slow	slow	slow	0.000316143	0.00229154	4.509609	3.941814
FKBP4	FALSE	FALSE	shared_fast	fast	fast	0.00415768	0.00362153	-3.757267	-3.861460
FKBP5	TRUE	TRUE	shared_slow	slow	slow	0.00130335	0.00132953	4.133562	4.174981
FKBP8	TRUE	TRUE	shared_slow	slow	slow	0.000291093	0.000304212	4.643929	4.665441
FKRP	TRUE	TRUE	shared_slow	slow	slow	0.00036277	0.000558765	4.597555	4.500354
FLII	FALSE	FALSE	shared_fast	fast	fast	0.000339688	0.000177011	-4.628237	-4.889969
FLOT1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00931559		3.421631	2.904647
FLT4	TRUE	TRUE	shared_slow	slow	slow	0.000321102	0.00325485	4.593871	3.864388
FLYWCH1	TRUE	TRUE	shared_slow	slow	slow	1.18747e-05	1.93686e-06	5.532130	5.972378
FMO4	TRUE	TRUE	shared_slow	slow	slow	0.000872273	0.00495213	4.236881	3.698263
FN3K	TRUE	TRUE	shared_slow	slow	slow	9.84875e-06	4.54848e-06	5.606998	5.803914
FN3KRP	TRUE	TRUE	shared_slow	slow	slow	0.000110966	0.00536994	4.922629	3.694582
FNBP1	TRUE	TRUE	shared_slow	slow	slow	0.0010753	0.00608651	4.114277	3.600881
FOXN2	TRUE	FALSE	marine_only_slow	slow	not_significant	0.0073696		3.509999	3.084230
FOXR1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00672983		3.526475	3.364274
FP565260	FALSE	FALSE	aquatic_fast_only	not_significant	fast		0.00522507	-3.063415	-3.725767
FRMD5	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00533232		3.638287	3.436836
FRYL	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00578514		3.590385	2.962535
FSBP	TRUE	TRUE	shared_slow	slow	slow	1.66285e-06	9.69128e-07	6.021210	6.149023
FSHR	FALSE	FALSE	shared_fast	fast	fast	0.00154791	0.00060542	-4.127671	-4.507643
FUT9	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00679184		3.530770	3.020072
FYTTD1	TRUE	FALSE	marine_only_slow	slow	not_significant	0.00522688		3.630384	3.110743
